"Jurisdiction","Precinct","Race","Candidate","Votes"
"Washoe","GER-WADS 7581","U.S. Representative in Congress, District 2","Amodei, Mark E.","23"
"Washoe","GER-WADS 7581","District Court Judge, District 2, Department 16 Family Division","BANALES, AMIEE","129"
"Washoe","GER-WADS 7581","President and Vice President of the United States","BIDEN, JOSEPH R.","165"
"Washoe","GER-WADS 7581","President and Vice President of the United States","BLANKENSHIP, DON","2"
"Washoe","GER-WADS 7581","District Court Judge, District 2, Department  8","BRESLOW, BARRY LOUIS","126"
"Washoe","GER-WADS 7581","Court of Appeals Judge, Department 3","Bulla, Bonnie","72"
"Washoe","GER-WADS 7581","Court of Appeals Judge, Department 3","BUSH, SUSAN","44"
"Washoe","GER-WADS 7581","District Court Judge, District 2, Department 13 Family Division","BUSHUR, AARON","67"
"Washoe","GER-WADS 7581","District Court Judge, District 2, Department 11 Family Division","DOLLINGER, PAIGE","99"
"Washoe","GER-WADS 7581","District Court Judge, District 2, Department  1","Drakulich, Kathleen M.","136"
"Washoe","GER-WADS 7581","District Court Judge, District 2, Department  9","Freeman, Scott N.","130"
"Washoe","GER-WADS 7581","Supreme Court Justice, Seat D","FUMO, Ozzie","79"
"Washoe","GER-WADS 7581","District Court Judge, District 2, Department  2","Grossman, Dixie","133"
"Washoe","GER-WADS 7581","State Assembly, District 32","Hansen, Alexis M.","29"
"Washoe","GER-WADS 7581","U.S. Representative in Congress, District 2","HANSEN, JANINE","12"
"Washoe","GER-WADS 7581","District Court Judge, District 2, Department 15","HARDY, DAVID A.","127"
"Washoe","GER-WADS 7581","Supreme Court Justice, Seat D","HERNDON, DOUGLAS","41"
"Washoe","GER-WADS 7581","President and Vice President of the United States","JORGENSEN, JO","3"
"Washoe","GER-WADS 7581","District Court Judge, District 2, Department  5 Family Division","Lu, Cynthia","131"
"Washoe","GER-WADS 7581","President and Vice President of the United States","None Of These Candidates","5"
"Washoe","GER-WADS 7581","Supreme Court Justice, Seat B","None Of These Candidates","59"
"Washoe","GER-WADS 7581","Supreme Court Justice, Seat D","None Of These Candidates","64"
"Washoe","GER-WADS 7581","Court of Appeals Judge, Department 3","None Of These Candidates","62"
"Washoe","GER-WADS 7581","Supreme Court Justice, Seat B","Pickering, Kristina","118"
"Washoe","GER-WADS 7581","State Assembly, District 32","POVILAITIS, PAULA","156"
"Washoe","GER-WADS 7581","District Court Judge, District 2, Department  3","RIGGS, TAMMY M.","134"
"Washoe","GER-WADS 7581","District Court Judge, District 2, Department 13 Family Division","ROBB, BRIDGET E.","81"
"Washoe","GER-WADS 7581","District Court Judge, District 2, Department 10","SATTLER, ELLIOTT A.","42"
